country_shapefile,identifier_col,start_date,end_date,split_shape,mid_date
VEN,ADM1_ES,1/1/98,12/31/05,TRUE,2003
VEN,ADM1_ES,1/1/17,12/31/21,TRUE,2020
BOL,ADM1_ES,1/1/13,12/31/21,TRUE,2018
NIC,ADM1_ES,1/1/99,12/31/04,TRUE,2003
NIC,ADM1_ES,1/1/04,12/31/21,TRUE,2012
PAN,ADM1_ES,1/1/17,12/31/21,TRUE,2020
SLV,ADM1_ES,1/1/99,12/31/09,TRUE,2005
THA,ADM1_EN,1/1/92,12/31/10,TRUE,2002
THA,ADM1_EN,1/1/10,12/31/19,TRUE,2015
MYS,ADM1_EN,1/1/92,12/31/10,TRUE,2002
TWN,NAME_2,1/1/04,12/31/21,TRUE,2014
VNM,ADM1_EN,1/1/93,12/31/10,TRUE,2002
IDN,ADM1_EN,1/1/99,12/31/17,TRUE,2005
KHM,ADM1_EN,1/1/97,12/31/10,TRUE,2004
LAO,ADM1_EN,1/1/97,12/31/10,TRUE,2004
CHN,ADM1_EN,1/1/97,12/31/09,TRUE,2004
PER,ADM2_PCODE,1/1/09,12/31/20,TRUE,2015
COL,ADM2_PCODE,1/1/06,12/31/20,TRUE,2014
LKA,ADM2_EN,1/1/09,12/31/21,TRUE,2016
DOM,ADM2_ES,1/1/06,12/31/20,TRUE,2014
BRA,ADM2_PCODE,1/1/00,12/31/19,TRUE,2010
LKA1,ADM1_EN,1/1/95,12/31/04,TRUE,2000
PHL,ADM2_EN,1/1/93,12/31/10,TRUE,2002
HND,ADM1_ES,1/1/16,12/31/19,TRUE,2018
CRI,sccn_rg,1/1/11,12/31/20,TRUE,2016
MEX,ADM1_ES,1/1/02,12/31/21,TRUE,2011